Date;Open;High;Low;Close;Adj Close;Volume;Tipo Cripto;;Close-open;dif dia anterior;Volumen expresado en millon;NUMERO DE SEMANA;DIA DIA DE LA SEMANA;Nro/Dia semana;;;;;;;;
17/9/2014;465,864014;468,174011;452,421997;457,334015;457,334015;21056800;BTC;;-8,5300 ;0;21;4;miércoles;4-miércoles;;;;;;;;
18/9/2014;456,859985;456,859985;413,104004;424,440002;424,440002;34483200;BTC;;-32,4200 ;-32,8940 ;34;5;jueves;5-jueves;;;;;;;;
19/9/2014;424,102997;427,834991;384,532013;394,79599;394,79599;37919700;BTC;;-29,3070 ;-29,6440 ;37;6;viernes;6-viernes;;;;;;;;
20/9/2014;394,673004;423,29599;389,882996;408,903992;408,903992;36863600;BTC;;14,2310 ;14,1080 ;36;7;sábado;7-sábado;;;;;;;;
21/9/2014;408,084991;412,425995;393,181;398,821014;398,821014;26580100;BTC;;-9,2640 ;-10,0830 ;26;1;domingo;1-domingo;;;;;;;;
22/9/2014;399,100006;406,915985;397,130005;402,152008;402,152008;24127600;BTC;;3,0520 ;3,3310 ;24;2;lunes;2-lunes;;;;;;;;
23/9/2014;402,09201;441,557007;396,196991;435,790985;435,790985;45099500;BTC;;33,6990 ;33,6390 ;45;3;martes;3-martes;;;;;;;;
24/9/2014;435,751007;436,112;421,131989;423,204987;423,204987;30627700;BTC;;-12,5460 ;-12,5860 ;30;4;miércoles;4-miércoles;;;;;;;;
25/9/2014;423,156006;423,519989;409,467987;411,574005;411,574005;26814400;BTC;;-11,5820 ;-11,6310 ;26;5;jueves;5-jueves;;;;;;;;
26/9/2014;411,428986;414,937988;400,009003;404,424988;404,424988;21460800;BTC;;-7,0040 ;-7,1490 ;21;6;viernes;6-viernes;;;;;;;;
27/9/2014;403,556;406,622986;397,372009;399,519989;399,519989;15029300;BTC;;-4,0360 ;-4,9050 ;15;7;sábado;7-sábado;;;;;;;;
28/9/2014;399,471008;401,016998;374,332001;377,181;377,181;23613300;BTC;;-22,2900 ;-22,3390 ;23;1;domingo;1-domingo;;;;;;;;
29/9/2014;376,928009;385,210999;372,23999;375,46701;375,46701;32497700;BTC;;-1,4610 ;-1,7140 ;32;2;lunes;2-lunes;;;;;;;;
30/9/2014;376,088013;390,97699;373,442993;386,944;386,944;34707300;BTC;;10,8560 ;11,4770 ;34;3;martes;3-martes;;;;;;;;
1/10/2014;387,427002;391,378998;380,779999;383,61499;383,61499;26229400;BTC;;-3,8120 ;-3,3290 ;26;4;miércoles;4-miércoles;;;;;;;;
2/10/2014;383,988007;385,497009;372,946014;375,071991;375,071991;21777700;BTC;;-8,9160 ;-8,5430 ;21;5;jueves;5-jueves;;;;;;;;
3/10/2014;375,181;377,695007;357,859009;359,511993;359,511993;30901200;BTC;;-15,6690 ;-15,5600 ;30;6;viernes;6-viernes;;;;;;;;
4/10/2014;359,891998;364,487;325,885986;328,865997;328,865997;47236500;BTC;;-31,0260 ;-30,6460 ;47;7;sábado;7-sábado;;;;;;;;
5/10/2014;328,915985;341,800995;289,29599;320,51001;320,51001;83308096;BTC;;-8,4060 ;-8,3560 ;83;1;domingo;1-domingo;;;;;;;;
6/10/2014;320,389008;345,134003;302,559998;330,07901;330,07901;79011800;BTC;;9,6900 ;9,5690 ;79;2;lunes;2-lunes;;;;;;;;
7/10/2014;330,584015;339,247009;320,481995;336,187012;336,187012;49199900;BTC;;5,6030 ;6,1080 ;49;3;martes;3-martes;;;;;;;;
8/10/2014;336,115997;354,364014;327,187988;352,940002;352,940002;54736300;BTC;;16,8240 ;16,7530 ;54;4;miércoles;4-miércoles;;;;;;;;
9/10/2014;352,747986;382,726013;347,687012;365,026001;365,026001;83641104;BTC;;12,2780 ;12,0860 ;83;5;jueves;5-jueves;;;;;;;;
10/10/2014;364,687012;375,066986;352,963013;361,562012;361,562012;43665700;BTC;;-3,1250 ;-3,4640 ;43;6;viernes;6-viernes;;;;;;;;
11/10/2014;361,362;367,19101;355,950989;362,299011;362,299011;13345200;BTC;;0,9370 ;0,7370 ;13;7;sábado;7-sábado;;;;;;;;
12/10/2014;362,605988;379,433014;356,144012;378,549011;378,549011;17552800;BTC;;15,9430 ;16,2500 ;17;1;domingo;1-domingo;;;;;;;;
13/10/2014;377,92099;397,226013;368,897003;390,414001;390,414001;35221400;BTC;;12,4930 ;11,8650 ;35;2;lunes;2-lunes;;;;;;;;
14/10/2014;391,691986;411,697998;391,324005;400,869995;400,869995;38491500;BTC;;9,1780 ;10,4560 ;38;3;martes;3-martes;;;;;;;;
15/10/2014;400,954987;402,22699;388,765991;394,77301;394,77301;25267100;BTC;;-6,1820 ;-6,0970 ;25;4;miércoles;4-miércoles;;;;;;;;
16/10/2014;394,518005;398,807007;373,070007;382,556;382,556;26990000;BTC;;-11,9620 ;-12,2170 ;26;5;jueves;5-jueves;;;;;;;;
17/10/2014;382,756012;385,477997;375,389008;383,757996;383,757996;13600700;BTC;;1,0020 ;1,2020 ;13;6;viernes;6-viernes;;;;;;;;
18/10/2014;383,976013;395,15799;378,971008;391,441986;391,441986;11416800;BTC;;7,4660 ;7,6840 ;11;7;sábado;7-sábado;;;;;;;;
19/10/2014;391,253998;393,938995;386,457001;389,54599;389,54599;5914570;BTC;;-1,7080 ;-1,8960 ;5;1;domingo;1-domingo;;;;;;;;
